 "csubject" , "cnumber" , "cname" , "component" ,
 "MBA" , "648" , "Business Process Management" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6601" , "Digital Signal Processing" , "http://acad.io/schema#Lecture" ,
 "ADIP" , "586" , "Integrative Internship II" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "441" , "Modern Analog Filter Design" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "441" , "Modern Analog Filter Design" , "http://acad.io/schema#Lab" ,
 "LOYC" , "320" , "Biodiversity on Earth" , "http://acad.io/schema#Lecture" ,
 "COMP" , "473" , "Pattern Recognition" , "http://acad.io/schema#Lecture" ,
 "COMP" , "473" , "Pattern Recognition" , "http://acad.io/schema#Lab" ,
 "BTM" , "481" , "Information Systems Analysis" , "http://acad.io/schema#Lecture" ,
 "COMS" , "497" , "Directed Study II" , "http://acad.io/schema#Tutorial" ,
 "BTM" , "200" , "Fundamentals of Information Technology" , "http://acad.io/schema#Lecture" ,
 "TESL" , "415" , "Testing, Evaluation, and Course Design" , "http://acad.io/schema#Lecture" ,
 "COMS" , "697" , "Research-Creation Thesis" , "http://acad.io/schema#Tutorial" ,
 "BLDG" , "6651" , "Fire and Smoke Control in Buildings" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6601" , "Modelling in Building and Environmental Engineering" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6361" , "Mechanics of Biological Tissues" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "http://acad.io/schema#Lecture" ,
 "MSCA" , "625" , "Seminar in Options and Futures" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6251" , "Microtransducer Process Technology" , "http://acad.io/schema#Lecture" ,
 "EMBA" , "631" , "Management Control Systems" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "202" , "Sustainable Development and Environmental Stewardship" , "http://acad.io/schema#Lecture" ,
 "COMP" , "248" , "Object‑Oriented Programming I" , "http://acad.io/schema#Lecture" ,
 "COMP" , "248" , "Object‑Oriented Programming I" , "http://acad.io/schema#Tutorial" ,
 "COMP" , "248" , "Object‑Oriented Programming I" , "http://acad.io/schema#Lab" ,
 "MECH" , "6451" , "Computer-Aided Mechanical Design" , "http://acad.io/schema#Lecture" ,
 "EMBA" , "640" , "Leadership" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6631" , "Hazardous Material Management and Transportation" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "453" , "Microwave Engineering" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "453" , "Microwave Engineering" , "http://acad.io/schema#Lab" ,
 "COMS" , "474" , "Communication Media: Intermedia III" , "http://acad.io/schema#Lecture" ,
 "COMS" , "474" , "Communication Media: Intermedia III" , "http://acad.io/schema#Lab" ,
 "MECH" , "6521" , "Manufacturing of Composites" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6051" , "Design of Industrial Structures" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6561" , "High Strength Materials" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "411" , "Terminologie et mondialisation" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6611" , "Numerically Controlled Machines" , "http://acad.io/schema#Lecture" ,
 "ENGL" , "342" , "Creative Writing: Prose Fiction" , "http://acad.io/schema#Lecture" ,
 "AERO" , "371" , "Modelling and Control Systems" , "http://acad.io/schema#Lecture" ,
 "AERO" , "371" , "Modelling and Control Systems" , "http://acad.io/schema#Tutorial" ,
 "AERO" , "371" , "Modelling and Control Systems" , "http://acad.io/schema#Lab" ,
 "FTRA" , "658" , "Pratique de la localisation Co-listé : FTRA 558" , "http://acad.io/schema#Lecture" ,
 "COMS" , "383" , "Communication Media: Film II" , "http://acad.io/schema#Lecture" ,
 "COMS" , "383" , "Communication Media: Film II" , "http://acad.io/schema#Lab" ,
 "COMS" , "374" , "Communication Media: Intermedia II" , "http://acad.io/schema#Lecture" ,
 "COMS" , "374" , "Communication Media: Intermedia II" , "http://acad.io/schema#Lab" ,
 "BIOL" , "466" , "Advanced Techniques in Molecular Biology" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "466" , "Advanced Techniques in Molecular Biology" , "http://acad.io/schema#Lab" ,
 "CATA" , "439" , "Rehabilitation of the Hip, Spine and Pelvis" , "http://acad.io/schema#Lecture" ,
 "CATA" , "439" , "Rehabilitation of the Hip, Spine and Pelvis" , "http://acad.io/schema#Lab" ,
 "FTRA" , "455" , "Gestion de projets" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6521" , "Advanced Database Techniques and Applications" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6521" , "Advanced Database Techniques and Applications" , "http://acad.io/schema#Lab" ,
 "ACTU" , "486" , "Actuarial Mathematics Lab III" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6630" , "Recent Developments in Information Systems Security" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "272" , "Argumentation and Composition for Engineers" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "272" , "Argumentation and Composition for Engineers" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "6521" , "Soil Behaviour" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "212" , "Analytical Chemistry for Biologists" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "212" , "Analytical Chemistry for Biologists" , "http://acad.io/schema#Lab" ,
 "BLDG" , "6861" , "Simulations and Design of Construction Operations" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "412" , "Honours Research Project" , "http://acad.io/schema#Lecture" ,
 "MECH" , "411" , "Instrumentation and Measurements" , "http://acad.io/schema#Lecture" ,
 "MECH" , "411" , "Instrumentation and Measurements" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "411" , "Instrumentation and Measurements" , "http://acad.io/schema#Lab" ,
 "COMP" , "428" , "Parallel Programming" , "http://acad.io/schema#Lecture" ,
 "COMP" , "428" , "Parallel Programming" , "http://acad.io/schema#Tutorial" ,
 "COMP" , "428" , "Parallel Programming" , "http://acad.io/schema#Lab" ,
 "INDU" , "6361" , "Discrete Optimization" , "http://acad.io/schema#Lecture" ,
 "PERC" , "210" , "The Audience and the Performance Event" , "http://acad.io/schema#Studio" ,
 "PERC" , "210" , "The Audience and the Performance Event" , "http://acad.io/schema#Lab" ,
 "FTRA" , "492" , "Tutorat en traduction" , "http://acad.io/schema#Tutorial" ,
 "BLDG" , "371" , "Building Service Systems" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "371" , "Building Service Systems" , "http://acad.io/schema#Lab" ,
 "INDU" , "6421" , "Occupational Safety Engineering" , "http://acad.io/schema#Lecture" ,
 "MBA" , "650" , "Crafting & Implementing Successful Strategies" , "http://acad.io/schema#Lecture" ,
 "COMS" , "485" , "Communication Media: Video III" , "http://acad.io/schema#Lecture" ,
 "COMS" , "485" , "Communication Media: Video III" , "http://acad.io/schema#Lab" ,
 "CIVI" , "7111" , "Theory and Design of Modern Bridge Systems" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "412" , "Honours Research Project" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6661" , "Environmental Impact Assessment" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "224" , "Introductory Experimental Mechanics" , "http://acad.io/schema#Lab" ,
 "ARTX" , "480" , "Advanced Integrated Studio in Contemporary Art Practices" , "http://acad.io/schema#Studio" ,
 "COEN" , "212" , "Digital Systems Design I" , "http://acad.io/schema#Lecture" ,
 "COEN" , "212" , "Digital Systems Design I" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "212" , "Digital Systems Design I" , "http://acad.io/schema#Lab" ,
 "SPAN" , "603" , "Introduction to the Pedagogy of Spanish" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "684" , "Tutorat en linguistique" , "http://acad.io/schema#Tutorial" ,
 "BIOL" , "524" , "High-throughput Instrumentation" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6320" , "Risk Analysis for Information and Systems Engineering" , "http://acad.io/schema#Lecture" ,
 "MATH" , "654" , "Thesis" , "http://acad.io/schema#Lecture" ,
 "STAT" , "287" , "Statistics Lab I" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6311" , "Animation for Computer Games" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6311" , "Animation for Computer Games" , "http://acad.io/schema#Lab" ,
 "APLI" , "601" , "Graduate Phonology" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "685" , "Tutorial in linguistics" , "http://acad.io/schema#Tutorial" ,
 "BSTA" , "445" , "Statistical Software for Data Management & Analysis" , "http://acad.io/schema#Lecture" ,
 "CATA" , "337" , "Assessment of the Upper and Lower Extremities" , "http://acad.io/schema#Lecture" ,
 "CATA" , "337" , "Assessment of the Upper and Lower Extremities" , "http://acad.io/schema#Lab" ,
 "CHEM" , "341" , "Inorganic Chemistry III: The Transition Metals" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "341" , "Inorganic Chemistry III: The Transition Metals" , "http://acad.io/schema#Lab" ,
 "AHSC" , "422" , "Youth and Leisure" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6491" , "Engineering Aspects of Site Remediation" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "7861" , "Business Practices in Construction" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "242" , "Inorganic Chemistry II: The Chemistry of the Main Group Elements" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "242" , "Inorganic Chemistry II: The Chemistry of the Main Group Elements" , "http://acad.io/schema#Lab" ,
 "FTRA" , "301" , "Traduction littéraire du français à l’anglais" , "http://acad.io/schema#Lecture" ,
 "MARK" , "495" , "Strategic Marketing Planning" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "422" , "Design of Integrated Circuit Components" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "422" , "Design of Integrated Circuit Components" , "http://acad.io/schema#Lab" ,
 "COEN" , "6511" , "VLSI Circuit Design" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "490" , "Independent Study" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "498" , "Leadership,
 Change &
 Social
 Innovation" , "http://acad.io/schema#Lecture" ,
 "SPAN" , "605" , "Independent Study" , "http://acad.io/schema#Lecture" ,
 "COMS" , "562" , "Media Production: Sound" , "http://acad.io/schema#Lab" ,
 "MAST" , "333" , "Applied Statistics" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6031" , "Seismic Assessment and Retrofit of Structures" , "http://acad.io/schema#Lecture" ,
 "FINA" , "416" , "Behavioural Finance" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "293" , "Spectroscopy and Structure of Organic Compounds" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "293" , "Spectroscopy and Structure of Organic Compounds" , "http://acad.io/schema#Lab" ,
 "INDU" , "6231" , "Scheduling Theory" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6491" , "Controlled Electric Drives" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6110" , "Foundations of Cryptography" , "http://acad.io/schema#Lecture" ,
 "MECH" , "460" , "Finite Element Analysis" , "http://acad.io/schema#Lecture" ,
 "MECH" , "460" , "Finite Element Analysis" , "http://acad.io/schema#Lab" ,
 "FTRA" , "418" , "Web, technologies, traduction : théories et critiques" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6631" , "Video Processing and Compression" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6831" , "Digital Communications" , "http://acad.io/schema#Lecture" ,
 "ENGL" , "429" , "Advanced Studies in Creative Writing" , "http://acad.io/schema#Lecture" ,
 "INSE" , "8901" , "Master of Applied Science Research and Thesis" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "485" , "Specialization Project" , "http://acad.io/schema#Lab" ,
 "EMBA" , "676" , "International Study Trip" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "304" , "Traduction littéraire de l’anglais au français" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "361" , "Research Design and Qualitative Methods" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "384" , "Therapeutic Recreation: Cognitive Disabilities and Illness" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "384" , "Therapeutic Recreation: Cognitive Disabilities and Illness" , "http://acad.io/schema#Lab" ,
 "BIOL" , "261" , "Molecular & General Genetics" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "261" , "Molecular & General Genetics" , "http://acad.io/schema#Tutorial" ,
 "ENGL" , "690" , "Thesis" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6481" , "Computer-aided Analysis of Power Electronic Systems" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "495" , "Honours Thesis" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6421" , "Renewable Energy Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6421" , "Renewable Energy Systems" , "http://acad.io/schema#Tutorial" ,
 "CHEM" , "217" , "Introductory Analytical Chemistry I" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "217" , "Introductory Analytical Chemistry I" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6371" , "Design of Wireless RF Systems" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6731" , "Building Illumination" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "432" , "Control of Electrical Power Conversion Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "432" , "Control of Electrical Power Conversion Systems" , "http://acad.io/schema#Lab" ,
 "INDU" , "6241" , "Lean Manufacturing" , "http://acad.io/schema#Lecture" ,
 "MECH" , "474" , "Mechatronics" , "http://acad.io/schema#Lecture" ,
 "MECH" , "474" , "Mechatronics" , "http://acad.io/schema#Lab" ,
 "ELEC" , "483" , "Real-Time Computer Control Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "483" , "Real-Time Computer Control Systems" , "http://acad.io/schema#Lab" ,
 "INDU" , "411" , "Computer Integrated Manufacturing" , "http://acad.io/schema#Lecture" ,
 "INDU" , "411" , "Computer Integrated Manufacturing" , "http://acad.io/schema#Lab" ,
 "ENGL" , "227" , "Introductory Creative Writing: Playwriting" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6781" , "Guided Vehicle Systems" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "472" , "Robot Manipulators" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "472" , "Robot Manipulators" , "http://acad.io/schema#Lab" ,
 "WSDB" , "494" , "Advanced Tutorial in Women’s Studies" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "6121" , "Aerodynamics" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "290" , "Experimental Electronics" , "http://acad.io/schema#Lab" ,
 "MBA" , "645" , "Economic Analysis for Organizational Decision" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "631" , "Computational Chemistry" , "http://acad.io/schema#Lecture" ,
 "FRAN" , "211" , "French Language: Elementary" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "241" , "Inorganic Chemistry I: Introduction to Periodicity and Valence Theory" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "241" , "Inorganic Chemistry I: Introduction to Periodicity and Valence Theory" , "http://acad.io/schema#Lab" ,
 "INDU" , "6121" , "Advanced Operations Research" , "http://acad.io/schema#Lecture" ,
 "COMM" , "223" , "Marketing management" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "331" , "Fundamentals of Electrical Power Engineering" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "331" , "Fundamentals of Electrical Power Engineering" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "331" , "Fundamentals of Electrical Power Engineering" , "http://acad.io/schema#Lab" ,
 "AHSC" , "680" , "Facilitating Individual and Group Learning Processes" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6181" , "Heating, Air Conditioning and Ventilation" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6041" , "Virtual Systems Engineering" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "393" , "Impact of information and Communication Technologies on Society" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "367" , "Molecular Biology" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "367" , "Molecular Biology" , "http://acad.io/schema#Tutorial" ,
 "ENGL" , "344" , "Creative Writing: Playwriting" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "620" , "Learning and Individual Change Processes" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6251" , "Space Flight Mechanics and Propulsion Systems" , "http://acad.io/schema#Lecture" ,
 "MANA" , "343" , "Negotiation & Conflict Resolution" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "380" , "Adapted Physical Activity" , "http://acad.io/schema#Lecture" ,
 "CHST" , "605" , "Quantitative Methods of Inquiry" , "http://acad.io/schema#Lecture" ,
 "CHST" , "605" , "Quantitative Methods of Inquiry" , "http://acad.io/schema#Lab" ,
 "FINA" , "405" , "Cases in Finance" , "http://acad.io/schema#Lecture" ,
 "TESL" , "201" , "Introduction to Teaching English as a Second Language" , "http://acad.io/schema#Lecture" ,
 "COMS" , "276" , "Communication Media: Sound I" , "http://acad.io/schema#Lecture" ,
 "COMS" , "276" , "Communication Media: Sound I" , "http://acad.io/schema#Lab" ,
 "MECH" , "371" , "Analysis and Design of Control Systems" , "http://acad.io/schema#Lecture" ,
 "MECH" , "371" , "Analysis and Design of Control Systems" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "371" , "Analysis and Design of Control Systems" , "http://acad.io/schema#Lab" ,
 "COMP" , "445" , "Data Communication and Computer Networks" , "http://acad.io/schema#Lecture" ,
 "COMP" , "445" , "Data Communication and Computer Networks" , "http://acad.io/schema#Lab" ,
 "MECH" , "361" , "Fluid Mechanics II" , "http://acad.io/schema#Lecture" ,
 "MECH" , "361" , "Fluid Mechanics II" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "361" , "Fluid Mechanics II" , "http://acad.io/schema#Lab" ,
 "MECH" , "6661" , "Thermodynamics and Phase Equilibria of Materials" , "http://acad.io/schema#Lecture" ,
 "MECH" , "352" , "Heat Transfer I" , "http://acad.io/schema#Lecture" ,
 "MECH" , "352" , "Heat Transfer I" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "352" , "Heat Transfer I" , "http://acad.io/schema#Lab" ,
 "FINA" , "415" , "Mergers and Acquisitions" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "685" , "Coaching Interventions and Processes" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6481" , "Sustainable Management of Industrial Waste" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "390" , "Electrical Engineering Product Design Project" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "390" , "Electrical Engineering Product Design Project" , "http://acad.io/schema#Tutorial" ,
 "BLDG" , "7831" , "Building Economics II" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "451" , "Field Ecology" , "http://acad.io/schema#Tutorial" ,
 "BLDG" , "6791" , "Thermal Building Simulation" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "461" , "Child Studies Seminar: Early Childhood Settings" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6881" , "Fundamentals and Applications of MIMO Communications" , "http://acad.io/schema#Lecture" ,
 "SPAN" , "603" , "Introduction to the Pedagogy of Spanish" , "http://acad.io/schema#Lecture" ,
 "CATA" , "339" , "Rehabilitation of the Upper and Lower Extremities" , "http://acad.io/schema#Lecture" ,
 "CATA" , "339" , "Rehabilitation of the Upper and Lower Extremities" , "http://acad.io/schema#Lab" ,
 "COEN" , "6311" , "Software Engineering" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6751" , "Vehicle Dynamics" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6411" , "Urban Transportation Planning" , "http://acad.io/schema#Lecture" ,
 "FLIT" , "690" , "Présentation du mémoire" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "689" , "Advanced Techniques in Molecular Biology" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "689" , "Advanced Techniques in Molecular Biology" , "http://acad.io/schema#Lab" ,
 "FRAN" , "319" , "Le français des affaires II" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6741" , "Intelligent Systems" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6741" , "Intelligent Systems" , "http://acad.io/schema#Lab" ,
 "PHYS" , "663" , "Quantitative Human Systems Physiology" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "442" , "Community Development and Leisure" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "490" , "Independent Study I" , "http://acad.io/schema#Lecture" ,
 "ENGL" , "226" , "Introductory Creative Writing: Prose Fiction" , "http://acad.io/schema#Lecture" ,
 "AERO" , "482" , "Avionic Navigation Systems (3 credits)" , "http://acad.io/schema#Lecture" ,
 "COMP" , "490" , "Computer Science Project I" , "http://acad.io/schema#Lecture" ,
 "CLAS" , "490" , "Honours Thesis" , "http://acad.io/schema#Tutorial" ,
 "INSE" , "6220" , "Advanced Statistical Approaches to Quality" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6270" , "Quality-Based System Engineering" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "652" , "Traduction assistée par ordinateur (TAO) et post édition Co-listé : FTRA 552" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "527" , "Travaux dirigés (A)" , "http://acad.io/schema#Tutorial" ,
 "EMBA" , "612" , "Marketing Management" , "http://acad.io/schema#Lecture" ,
 "APLI" , "634" , "Cross-linguistic Influence" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "http://acad.io/schema#Lab" ,
 "BIOL" , "322" , "Biostatistics" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "322" , "Biostatistics" , "http://acad.io/schema#Lab" ,
 "MAST" , "324" , "Introduction to Optimization" , "http://acad.io/schema#Lecture" ,
 "MECH" , "447" , "Fundamentals of Vehicle System Design" , "http://acad.io/schema#Lecture" ,
 "MECH" , "447" , "Fundamentals of Vehicle System Design" , "http://acad.io/schema#Lab" ,
 "COEN" , "6521" , "Design for Testability" , "http://acad.io/schema#Lecture" ,
 "SOAN" , "890" , "Thesis" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6751" , "Indoor Air Quality and Ventilation" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "252" , "Introduction to Physical Activity, Health and Fitness" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "252" , "Introduction to Physical Activity, Health and Fitness" , "http://acad.io/schema#Lab" ,
 "BTM" , "430" , "Enterprise Resources Planning and Technology Integration" , "http://acad.io/schema#Lecture" ,
 "MARK" , "465" , "International Marketing Management" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6561" , "Building Economics I" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6120" , "Crypto-Protocol and Network Security" , "http://acad.io/schema#Lecture" ,
 "COMS" , "695" , "Thesis" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "486" , "High-throughput Instrumentation" , "http://acad.io/schema#Lecture" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC8" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC12" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC2" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC1" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/schema#Lecture" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC7" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC3" ,
 "COMP" , "346" , "Operating Systems" , "http://localhost:3030/acad/COURSES/COMP346/Outline/comp346_F20_course_outline.pdf" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/schema#Tutorial" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC9" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC10" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC6" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/schema#Lab" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC13" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC11" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC5" ,
 "COMP" , "346" , "Operating Systems" , "http://acad.io/data#COMP346-LEC4" ,
 "COEN" , "6341" , "Embedded System Modelling" , "http://acad.io/schema#Lecture" ,
 "MATH" , "603" , "Extended Project" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6091" , "Discrete Event Systems" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "5721" , "Argumentation and Composition for Engineers" , "http://acad.io/schema#Lecture" ,
 "COMS" , "483" , "Communication Media: Film III" , "http://acad.io/schema#Lecture" ,
 "COMS" , "483" , "Communication Media: Film III" , "http://acad.io/schema#Lab" ,
 "HIST" , "388" , "Telling Stories: Oral History, Memoryscapes, and Digital Storytelling" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "351" , "Introduction to the Biomechanics of Human Movement" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "351" , "Introduction to the Biomechanics of Human Movement" , "http://acad.io/schema#Lab" ,
 "EDUC" , "360" , "Introduction to Inclusive Practices" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "362" , "Statistical Methods" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "362" , "Statistical Methods" , "http://acad.io/schema#Lab" ,
 "ETEC" , "551" , "Fundamentals of Human Performance Technology" , "http://acad.io/schema#Lecture" ,
 "ETEC" , "551" , "Fundamentals of Human Performance Technology" , "http://acad.io/schema#Lab" ,
 "URBS" , "250" , "Representation Methods in Urban Studies" , "http://acad.io/schema#Lecture" ,
 "URBS" , "250" , "Representation Methods in Urban Studies" , "http://acad.io/schema#Lab" ,
 "CIVI" , "454" , "Design of Steel Structures" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "454" , "Design of Steel Structures" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "454" , "Design of Steel Structures" , "http://acad.io/schema#Lab" ,
 "EDUC" , "301" , "Integrating Computers into the Elementary Classroom" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "490" , "Capstone Building Engineering Design Project (also listed as BLDG 490A, BLDG 490B)" , "http://acad.io/schema#Lecture" ,
 "MECH" , "472" , "Mechatronics and Automation" , "http://acad.io/schema#Lecture" ,
 "MECH" , "472" , "Mechatronics and Automation" , "http://acad.io/schema#Lab" ,
 "ENGR" , "290" , "Introductory Engineering Team Design Project" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "290" , "Introductory Engineering Team Design Project" , "http://acad.io/schema#Tutorial" ,
 "PERC" , "209" , "The Engaged Theatre Artist" , "http://acad.io/schema#Studio" ,
 "PERC" , "209" , "The Engaged Theatre Artist" , "http://acad.io/schema#Lab" ,
 "FRAA" , "491" , "Tutorat en langue ou linguistique" , "http://acad.io/schema#Tutorial" ,
 "FINA" , "465" , "Trading in Financial Securities" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6640" , "Smart Grids and Control System Security" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "442" , "Digital Signal Processing" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "442" , "Digital Signal Processing" , "http://acad.io/schema#Lab" ,
 "CIVI" , "231" , "Geology for Civil Engineers" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "231" , "Geology for Civil Engineers" , "http://acad.io/schema#Tutorial" ,
