 "csubject" , "cnumber" , "cname" , "component" ,
 "AHSC" , "456" , "Advanced Family Life Education" , "http://acad.io/schema#Lecture" ,
 "COEN" , "346" , "Operating Systems" , "http://acad.io/schema#Lecture" ,
 "COEN" , "346" , "Operating Systems" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "346" , "Operating Systems" , "http://acad.io/schema#Lab" ,
 "CIVI" , "6461" , "Pavement Management Systems" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "259" , "Human Physiology II: Cardiovascular and Respiratory Systems: From Rest to Exercise" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "259" , "Human Physiology II: Cardiovascular and Respiratory Systems: From Rest to Exercise" , "http://acad.io/schema#Lab" ,
 "CHEM" , "451" , "Nanochemistry" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6250" , "Quality Methodologies for Software" , "http://acad.io/schema#Lecture" ,
 "TESL" , "231" , "Modern English Grammar" , "http://acad.io/schema#Lecture" ,
 "SCOM" , "492" , "Supply Chain Simulation" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6731" , "Pattern Recognition" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6731" , "Pattern Recognition" , "http://acad.io/schema#Lab" ,
 "EDUC" , "307" , "Integrating Digital Technologies and Social Media in Learning Environments" , "http://acad.io/schema#Lecture" ,
 "ACCO" , "690B" , "Advanced Exam-writing Techniques" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6621" , "Engineering Aspects of Biological Treatment of Water and Air" , "http://acad.io/schema#Lecture" ,
 "JPER" , "341" , "Jazz Vocal Repertoire I" , "http://acad.io/schema#Studio" ,
 "JPER" , "341" , "Jazz Vocal Repertoire I" , "http://acad.io/schema#Tutorial" ,
 "HUMA" , "895" , "Thesis" , "http://acad.io/schema#Lecture" ,
 "BSTA" , "478" , "Data Mining Techniques" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "530" , "Community Youth Development" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6851" , "Telecommunications Networks" , "http://acad.io/schema#Lecture" ,
 "FINA" , "410" , "Investment Analysis" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "635" , "Traduction littéraire du français à l’anglais Co-listé : FTRA 501" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6431" , "Ad Hoc Wireless Networks: Architectures and Protocols" , "http://acad.io/schema#Lecture" ,
 "ACCO" , "465" , "Adv Assurance Services" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "206" , "General Chemistry II" , "http://acad.io/schema#Lecture" ,
 "COEN" , "212" , "Digital Systems Design I" , "http://acad.io/schema#Lecture" ,
 "COEN" , "212" , "Digital Systems Design I" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "212" , "Digital Systems Design I" , "http://acad.io/schema#Lab" ,
 "INSE" , "6290" , "Quality in Supply Chain Design" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6421" , "Metal Machining and Surface Technology" , "http://acad.io/schema#Lecture" ,
 "COMS" , "476" , "Communication Media: Sound III" , "http://acad.io/schema#Lecture" ,
 "COMS" , "476" , "Communication Media: Sound III" , "http://acad.io/schema#Lab" ,
 "MECH" , "6481" , "Aeroelasticity" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "371" , "Community Recreation Planning" , "http://acad.io/schema#Lecture" ,
 "MECH" , "211" , "Mechanical Engineering Drawing" , "http://acad.io/schema#Lecture" ,
 "MECH" , "211" , "Mechanical Engineering Drawing" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "211" , "Mechanical Engineering Drawing" , "http://acad.io/schema#Lab" ,
 "FTRA" , "528" , "Travaux dirigés (F)" , "http://acad.io/schema#Tutorial" ,
 "PSYC" , "487" , "Advanced Directed Research in Psychology" , "http://acad.io/schema#Tutorial" ,
 "ACCO" , "420" , "Advanced Managerial Accounting" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6081" , "Modern Analog Filter Design" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "http://acad.io/schema#Lecture" ,
 "FINA" , "402" , "Short Term Financial Management" , "http://acad.io/schema#Lecture" ,
 "MECH" , "370" , "Modelling and Analysis of Dynamic Systems" , "http://acad.io/schema#Lecture" ,
